time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
1659074400,NaN,NaN,NaN,NaN,NaN,NaN
1659078000,NaN,NaN,NaN,NaN,NaN,NaN
1659081600,NaN,NaN,NaN,NaN,NaN,NaN
1659085200,NaN,NaN,NaN,NaN,NaN,NaN
1659088800,NaN,NaN,NaN,NaN,NaN,NaN
1659092400,NaN,NaN,NaN,NaN,NaN,NaN
1659096000,NaN,NaN,NaN,NaN,NaN,NaN
1659099600,NaN,NaN,NaN,NaN,NaN,NaN
1659103200,NaN,NaN,NaN,NaN,NaN,NaN
1659106800,NaN,NaN,NaN,NaN,NaN,NaN
1659110400,NaN,NaN,NaN,NaN,NaN,NaN
1659114000,NaN,NaN,NaN,NaN,NaN,NaN
1659117600,NaN,NaN,NaN,NaN,NaN,NaN
1659121200,NaN,NaN,NaN,NaN,NaN,NaN
1659124800,NaN,NaN,NaN,NaN,NaN,NaN
1659128400,NaN,NaN,NaN,NaN,NaN,NaN
1659132000,NaN,NaN,NaN,NaN,NaN,NaN
1659135600,NaN,NaN,NaN,NaN,NaN,NaN
1659139200,NaN,NaN,NaN,NaN,NaN,NaN
1659142800,NaN,NaN,NaN,NaN,NaN,NaN
1659146400,NaN,NaN,NaN,NaN,NaN,NaN
1659150000,NaN,NaN,NaN,NaN,NaN,NaN
1659153600,NaN,NaN,NaN,NaN,NaN,NaN
1659157200,NaN,NaN,NaN,NaN,NaN,NaN
1659160800,NaN,NaN,NaN,NaN,NaN,NaN
1659164400,NaN,NaN,NaN,NaN,NaN,NaN
1659168000,NaN,NaN,NaN,NaN,NaN,NaN
1659171600,NaN,NaN,NaN,NaN,NaN,NaN
1659175200,NaN,NaN,NaN,NaN,NaN,NaN
1659178800,NaN,NaN,NaN,NaN,NaN,NaN
1659182400,NaN,NaN,NaN,NaN,NaN,NaN
1659186000,NaN,NaN,NaN,NaN,NaN,NaN
1659189600,NaN,NaN,NaN,NaN,NaN,NaN
1659193200,NaN,NaN,NaN,NaN,NaN,NaN
1659196800,NaN,NaN,NaN,NaN,NaN,NaN
1659200400,NaN,NaN,NaN,NaN,NaN,NaN
1659204000,NaN,NaN,NaN,NaN,NaN,NaN
1659207600,NaN,NaN,NaN,NaN,NaN,NaN
1659211200,NaN,NaN,NaN,NaN,NaN,NaN
1659214800,NaN,NaN,NaN,NaN,NaN,NaN
1659218400,NaN,NaN,NaN,NaN,NaN,NaN
1659222000,NaN,NaN,NaN,NaN,NaN,NaN
1659225600,NaN,NaN,NaN,NaN,NaN,NaN
1659229200,NaN,NaN,NaN,NaN,NaN,NaN
1659232800,NaN,NaN,NaN,NaN,NaN,NaN
1659236400,NaN,NaN,NaN,NaN,NaN,NaN
1659240000,NaN,NaN,NaN,NaN,NaN,NaN
1659243600,NaN,NaN,NaN,NaN,NaN,NaN
1659247200,NaN,NaN,NaN,NaN,NaN,NaN
1659250800,NaN,NaN,NaN,NaN,NaN,NaN
1659254400,NaN,NaN,NaN,NaN,NaN,NaN
1659258000,NaN,NaN,NaN,NaN,NaN,NaN
1659261600,NaN,NaN,NaN,NaN,NaN,NaN
1659265200,NaN,NaN,NaN,NaN,NaN,NaN
1659268800,NaN,NaN,NaN,NaN,NaN,NaN
1659272400,NaN,NaN,NaN,NaN,NaN,NaN
1659276000,NaN,NaN,NaN,NaN,NaN,NaN
1659279600,NaN,NaN,NaN,NaN,NaN,NaN
1659283200,NaN,NaN,NaN,NaN,NaN,NaN
1659286800,NaN,NaN,NaN,NaN,NaN,NaN
1659290400,NaN,NaN,NaN,NaN,NaN,NaN
1659294000,NaN,NaN,NaN,NaN,NaN,NaN
1659297600,NaN,NaN,NaN,NaN,NaN,NaN
1659301200,NaN,NaN,NaN,NaN,NaN,NaN
1659304800,NaN,NaN,NaN,NaN,NaN,NaN
1659308400,NaN,NaN,NaN,NaN,NaN,NaN
1659312000,NaN,NaN,NaN,NaN,NaN,NaN
1659315600,NaN,NaN,NaN,NaN,NaN,NaN
1659319200,NaN,NaN,NaN,NaN,NaN,NaN
1659322800,NaN,NaN,NaN,NaN,NaN,NaN
1659326400,NaN,NaN,NaN,NaN,NaN,NaN
1659330000,NaN,NaN,NaN,NaN,NaN,NaN
1659333600,NaN,NaN,NaN,NaN,NaN,NaN
1659337200,NaN,NaN,NaN,NaN,NaN,NaN
1659340800,NaN,NaN,NaN,NaN,NaN,NaN
1659344400,NaN,NaN,NaN,NaN,NaN,NaN
1659348000,NaN,NaN,NaN,NaN,NaN,NaN
1659351600,NaN,NaN,NaN,NaN,NaN,NaN
1659355200,NaN,NaN,NaN,NaN,NaN,NaN
1659358800,NaN,NaN,NaN,NaN,NaN,NaN
1659362400,NaN,NaN,NaN,NaN,NaN,NaN
1659366000,NaN,NaN,NaN,NaN,NaN,NaN
1659369600,NaN,NaN,NaN,NaN,NaN,NaN
1659373200,NaN,NaN,NaN,NaN,NaN,NaN
1659376800,NaN,NaN,NaN,NaN,NaN,NaN
1659380400,NaN,NaN,NaN,NaN,NaN,NaN
1659384000,NaN,NaN,NaN,NaN,NaN,NaN
1659387600,NaN,NaN,NaN,NaN,NaN,NaN
1659391200,NaN,NaN,NaN,NaN,NaN,NaN
