time,temperature_2m,relativehumidity_2m,dewpoint_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weathercode,pressure_msl,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,et0_fao_evapotranspiration,vapor_pressure_deficit,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,is_day,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,terrestrial_radiation_instant,time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2023-01-01T00:00,10.4,32,-5.4,6.6,0.0,0.0,0.0,0.0,3,1028.7,901.2,90,0,100,100,0.04,0.86,2.01,2.33,96,121,2.3,8.5,11.3,14.1,20.6,0.058,0.119,0.143,0.137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,3.0,14.2,5.3,10.8,10.1,1.7,7.1,2023-01-01T08:25,2023-01-01T18:36,0.0,0.0,0.0,0.0,2.01,4.2,76.0,11.26,2.16
2023-01-01T01:00,10.1,33,-5.5,6.2,0.0,0.0,0.0,0.0,3,1028.4,900.8,90,0,100,100,0.04,0.83,1.91,2.38,84,112,2.1,7.9,11.2,14.1,20.6,0.058,0.119,0.143,0.137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-02,0.0,16.0,2.6,10.0,11.8,-1.0,6.2,2023-01-02T08:25,2023-01-02T18:37,0.0,0.0,0.0,0.0,2.6,6.0,151.0,14.24,2.45
2023-01-01T02:00,10.1,33,-5.6,6.4,0.0,0.0,0.0,0.0,3,1028.4,900.8,90,0,100,100,0.04,0.83,1.66,2.1,65,90,2.1,7.5,11.1,14.1,20.6,0.058,0.119,0.143,0.137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-03,1.0,15.9,4.1,10.8,12.2,0.5,7.2,2023-01-03T08:25,2023-01-03T18:37,0.0,0.0,0.0,0.0,2.1,5.7,93.0,14.02,2.57
2023-01-01T03:00,9.3,35,-5.5,5.6,0.0,0.0,0.0,0.0,3,1027.9,900.1,90,0,100,100,0.03,0.77,1.7,2.02,45,70,2.0,7.2,11.0,14.0,20.6,0.058,0.119,0.143,0.137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-04,1.0,15.4,2.7,9.9,11.2,-0.5,6.3,2023-01-04T08:26,2023-01-04T18:38,0.0,0.0,0.0,0.0,2.02,5.6,52.0,13.94,2.38
2023-01-01T04:00,9.0,35,-5.6,5.4,0.0,0.0,0.0,0.0,3,1027.7,899.8,89,0,99,100,0.03,0.75,1.44,1.79,34,63,2.1,6.6,10.9,14.0,20.6,0.058,0.119,0.143,0.137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-05,0.0,14.7,0.1,8.1,10.6,-4.0,4.0,2023-01-05T08:26,2023-01-05T18:39,0.0,0.0,0.0,0.0,2.21,5.5,314.0,14.81,2.61
2023-01-01T05:00,10.1,32,-6.0,6.7,0.0,0.0,0.0,0.0,2,1027.4,900.0,79,0,82,100,0.02,0.85,0.94,1.36,32,73,2.1,5.9,10.8,14.0,20.6,0.058,0.119,0.143,0.137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-06,0.0,16.7,-0.6,8.6,12.2,-4.1,5.0,2023-01-06T08:26,2023-01-06T18:40,0.0,0.0,0.0,0.0,2.87,6.5,245.0,14.73,2.54
2023-01-01T06:00,9.8,33,-5.9,6.4,0.0,0.0,0.0,0.0,3,1027.7,900.1,82,0,86,100,0.02,0.82,0.99,1.4,45,90,2.1,5.3,10.7,14.0,20.6,0.058,0.119,0.143,0.137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-07,0.0,16.7,0.3,8.9,11.8,-3.0,5.1,2023-01-07T08:26,2023-01-07T18:40,0.0,0.0,0.0,0.0,3.47,7.6,237.0,14.92,2.7
2023-01-01T07:00,9.1,34,-5.9,5.5,0.0,0.0,0.0,0.0,3,1027.8,899.9,81,0,86,99,0.03,0.76,1.41,1.51,45,82,2.5,4.6,10.6,14.0,20.6,0.058,0.119,0.143,0.137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-08,0.0,18.5,-0.6,8.8,14.3,-4.0,5.2,2023-01-08T08:26,2023-01-08T18:41,0.0,0.0,0.0,0.0,2.61,6.3,296.0,14.8,2.65
2023-01-01T08:00,6.3,42,-5.8,2.5,0.0,0.0,0.0,0.0,2,1028.1,899.0,69,0,65,100,0.03,0.56,1.75,1.77,24,47,2.5,4.4,10.4,14.0,20.6,0.058,0.119,0.143,0.137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-09,0.0,20.3,1.4,10.7,16.1,-2.3,7.1,2023-01-09T08:26,2023-01-09T18:42,0.0,0.0,0.0,0.0,3.03,6.7,261.0,14.68,2.77
2023-01-01T09:00,5.3,45,-5.8,1.7,0.0,0.0,0.0,0.0,1,1028.5,898.9,49,0,35,94,0.03,0.49,1.4,1.79,4,27,2.3,3.9,10.3,14.0,20.6,0.058,0.119,0.143,0.137,1,11.0,1.0,10.0,11.7,60.2,25.5,2.3,23.2,23.5,139.6,2023-01-10,1.0,19.6,4.4,12.2,15.4,1.3,8.8,2023-01-10T08:26,2023-01-10T18:43,0.0,0.0,0.0,0.0,3.26,6.9,241.0,14.86,2.82
